,Title,Price,Land Size,Built Up,Price,Price Per Sqft
0,BERSIH CANTIK Tepi MRR2 Flat Sri Inai Pandan Indah Ampang,RM 205 000,Apartment / Condominium,648 sq.ft.,3 Bedrooms,1 Bathroom
1,SPACIOUS 2 STOREY SEMI D MYDIVA HOMES Perdana Lakeview East Cyberjaya,RM 1 700 000,House,3600 sq.ft.,6 Bedrooms,6 Bathrooms
2,2 STOREY END LOT TERRACE Taman Bangi Perdana Sek 3 Bandar Baru Bangi,RM 580 000,House,1399 sq.ft.,4 Bedrooms,3 Bathrooms
3,Taman Melati Mastika Double Storey Terrace House (Freehold Corner Lot),RM 1 880 000,House,6046 sq.ft.,5 Bedrooms,4 Bathrooms
4,"Hulu Langat, 6 ekar. Batu 21 Sg Tuntung Jalan Sg Lui",RM 1 180 000,Land,6 Acres,Leasehold,Agricultural
5,Freehold Desa Idaman Condo Puchong Prima,RM 385 000,Apartment / Condominium,955 sq.ft.,3 Bedrooms,2 Bathrooms
6,"Seksyen 15, Shah Alam",RM 2 000 000,Commercial Property,1650 sq.ft.,Leasehold,Shop lot
7,"Double Storey End Lot Jalan Meranti Bunga,  Taman Seri Mewah, Meru",RM 650 000,House,1701 sq.ft.,4 Bedrooms,3 Bathrooms
8,[BELOW MARKET 450K]Sastra Freehold Luxury Condo U-Thant KL,RM 1 860 000,Apartment / Condominium,2325 sq.ft.,4 Bedrooms,3 Bathrooms
9,"Murahh Apartment Anggerik Bukit Beruntung, Rawang",RM 110 000,Apartment / Condominium,700 sq.ft.,3 Bedrooms,2 Bathrooms
10,"Eco Majestic Semi D (Tenderfield), Semenyih",RM 1 550 000,House,4284 sq.ft.,4 Bedrooms,5 Bathrooms
11,【1000sqft🔥100% LOAN】Pangsapuri Seruling Selangorku Setia Alam 0% Depo,RM 319 000,Apartment / Condominium,1000 sq.ft.,3 Bedrooms,2 Bathrooms
12,【Cash Back 60K🔥】Pangsapuri De Kiara 100%LOAN Setia Alam Freehold 2CP,RM 280 000,Apartment / Condominium,818 sq.ft.,3 Bedrooms,2 Bathrooms
13,"(Cash Back 50k)(Full Loan)1C Pinang, Taman Sri Sentosa, Old Klang Lama",RM 280 000,Apartment / Condominium,950 sq.ft.,3 Bedrooms,2 Bathrooms
14,Mutiara Oriental Condo,RM 600 000,Apartment / Condominium,1398 sq.ft.,3 Bedrooms,3 Bathrooms
15,"Renovated house for sale, walking distance to shop area.",RM 350 000,House,1200 sq.ft.,3 Bedrooms,1 Bathroom
16,Land Size 24 x 80 & Safety Taman House At Taman Bukit Serdang,RM 1 000 000,House,1920 sq.ft.,5 Bedrooms,4 Bathrooms
17,Taman Bukit Anggerik Single Storey House,RM 525 000,House,1320 sq.ft.,4 Bedrooms,2 Bathrooms
18,"(Full Loan) (Strata Ready) Ketumbar Height, Taman Cheras Yulek, KL",RM 240 000,Apartment / Condominium,755 sq.ft.,3 Bedrooms,2 Bathrooms
19,【2 Balcony❗❗LEVEL 1】Villa Court Apartment Goodview Height 100% LOAN💯,RM 270 000,Apartment / Condominium,930 sq.ft.,3 Bedrooms,2 Bathrooms
